                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.14031,                0.32296,                0.89583,                  0.915,                 0.7267,                 0.8013,                 0.8013,                0.21414,                0.81521,                0.30748,             0.00086635,             0.00086635,             0.00086635
                    138,                0.13772,                0.29608,                0.88622,                0.69911,                0.74856,                0.78124,                0.78124,                0.20676,                 0.8818,                0.29869,             0.00086536,             0.00086536,             0.00086536
                    139,                0.13111,                 0.2904,                0.89457,                 0.8709,                0.60856,                0.73379,                0.73379,                0.15423,                  0.761,                0.23995,             0.00086437,             0.00086437,             0.00086437
                    140,                0.13126,                0.28895,                0.89406,                0.82162,                0.67606,                0.68814,                0.68814,                0.14177,                0.89574,                0.22743,             0.00086338,             0.00086338,             0.00086338
                    141,                0.13015,                0.30914,                 0.8846,                0.53275,                0.82098,                0.73315,                0.73315,                  0.178,                0.84801,                0.26024,             0.00086239,             0.00086239,             0.00086239
                    142,                0.12519,                0.31564,                0.89195,                0.88026,                0.71708,                0.80458,                0.80244,                0.21726,                0.89468,                0.31011,              0.0008614,              0.0008614,              0.0008614
                    143,                0.12443,                0.29691,                0.88176,                0.72459,                0.76476,                0.81211,                0.81211,                0.13299,                0.67928,                0.19762,             0.00086041,             0.00086041,             0.00086041
                    144,                 0.1238,                 0.2934,                0.88086,                0.66291,                0.75469,                0.81359,                0.81359,                0.15993,                0.78734,                0.22918,             0.00085942,             0.00085942,             0.00085942
                    145,                0.14507,                0.32442,                0.88726,                0.55076,                0.84098,                 0.7823,                0.76726,                0.23482,                0.95315,                 0.3201,             0.00085843,             0.00085843,             0.00085843
                    146,                0.12299,                0.30724,                0.88956,                0.80314,                0.70745,                 0.7917,                0.78886,                0.23937,                0.83285,                0.32393,             0.00085744,             0.00085744,             0.00085744
                    147,                0.12767,                0.28944,                0.88124,                0.53209,                0.83491,                0.78072,                0.78072,                0.19635,                0.80226,                0.28116,             0.00085645,             0.00085645,             0.00085645
                    148,                0.12208,                0.27153,                0.88822,                0.70766,                 0.7355,                0.78133,                0.78133,                0.16837,                0.85013,                0.25804,             0.00085546,             0.00085546,             0.00085546
                    149,                0.12925,                0.34021,                0.89036,                0.65763,                0.66667,                  0.615,                  0.615,                0.16757,                 1.4836,                0.24688,             0.00085447,             0.00085447,             0.00085447
                    150,                0.12821,                0.30075,                0.88267,                0.54084,                0.79006,                0.76524,                0.75517,                0.18898,                 1.1269,                0.26636,             0.00085348,             0.00085348,             0.00085348
                    151,                0.12408,                0.29014,                0.89137,                0.79172,                0.61294,                0.74958,                0.74958,                0.12732,                 1.0139,                0.19827,             0.00085249,             0.00085249,             0.00085249
                    152,                0.12484,                0.27354,                0.87756,                0.81956,                0.67776,                0.65299,                0.65293,                0.19397,                 1.5975,                0.29229,              0.0008515,              0.0008515,              0.0008515
